Designator,Mid X,Mid Y,Rotation,Layer
D42,61.51,-42.2625,270.0,top
D43,63.51,-42.2775,270.0,top
D44,65.51,-42.2625,270.0,top
D45,67.51,-42.2775,270.0,top
D46,69.51,-42.2625,270.0,top
D50,45.5,-44.2325,270.0,top
D51,47.49,-44.2475,270.0,top
D52,49.5,-44.2325,270.0,top
D53,51.49,-44.2475,270.0,top
D54,53.5,-44.2325,270.0,top
D55,55.49,-44.2475,270.0,top
D56,57.5,-44.2325,270.0,top
D57,59.5,-44.2625,270.0,top
D58,61.51,-44.2475,270.0,top
D59,63.5,-44.2625,270.0,top
D6,53.49,-38.2325,270.0,top
D60,65.51,-44.2475,270.0,top
D61,67.5,-44.2625,270.0,top
D62,69.51,-44.2475,270.0,top
D63,71.5,-44.2625,270.0,top
D66,45.47,-46.2025,270.0,top
D67,47.47,-46.2175,270.0,top
D68,49.47,-46.2025,270.0,top
D69,51.47,-46.2175,270.0,top
D7,55.49,-38.2475,270.0,top
D70,53.47,-46.2025,270.0,top
D71,55.47,-46.2175,270.0,top
D72,57.47,-46.2025,270.0,top
D73,59.48,-46.2325,270.0,top
D74,61.48,-46.2175,270.0,top
D75,63.48,-46.2325,270.0,top
D76,65.48,-46.2175,270.0,top
D77,67.48,-46.2325,270.0,top
D78,69.48,-46.2175,270.0,top
D79,71.48,-46.2325,270.0,top
D8,57.49,-38.2325,270.0,top
D81,43.46,-48.2025,270.0,top
D82,45.47,-48.1875,270.0,top
D83,47.46,-48.2025,270.0,top
D84,49.47,-48.1875,270.0,top
D85,51.46,-48.2025,270.0,top
D86,53.47,-48.1875,270.0,top
D87,55.46,-48.2025,270.0,top
D88,57.47,-48.1875,270.0,top
D89,59.47,-48.2175,270.0,top
D9,59.5,-38.2625,270.0,top
D90,61.48,-48.2025,270.0,top
D91,63.47,-48.2175,270.0,top
D92,65.48,-48.2025,270.0,top
D93,67.47,-48.2175,270.0,top
D94,69.48,-48.2025,270.0,top
D95,71.47,-48.2175,270.0,top
D96,73.48,-48.2025,270.0,top
D97,43.48,-50.2325,270.0,top
D98,45.48,-50.2175,270.0,top
D99,47.48,-50.2325,270.0,top
J44,72.244295,-53.56966,270.0,bottom
R1,48.507824,-39.574461,54.0,bottom
R10,48.507824,-67.064859,306.0,bottom
R11,51.583839,-68.840797,294.0,bottom
R12,54.961875,-69.938388,282.0,bottom
R13,58.494295,-70.30966,270.0,bottom
R14,62.026715,-69.938388,258.0,bottom
R15,65.404751,-68.840797,246.0,bottom
R16,68.480766,-67.064859,234.0,bottom
R17,71.120326,-64.688189,222.0,bottom
R18,66.984295,-45.31966,0.0,bottom
R19,64.994295,-47.56966,90.0,bottom
R2,45.868264,-41.951131,42.0,bottom
R20,65.994295,-55.06966,90.0,bottom
R21,45.494295,-58.30966,90.0,bottom
R22,51.014295,-56.31966,90.0,bottom
R23,60.99,-40.25,0.0,bottom
R24,60.99,-39.25,180.0,bottom
R3,43.780523,-44.82466,30.0,bottom
R4,42.335845,-48.069461,18.0,bottom
R5,41.597368,-51.543721,6.0,bottom
R6,41.597368,-55.095599,354.0,bottom
R7,42.335845,-58.569859,342.0,bottom
R8,43.780523,-61.81466,330.0,bottom
R9,45.868264,-64.688189,318.0,bottom
U1,58.494295,-53.31966,0.0,bottom
U2,45.706795,-54.31966,270.0,bottom
U3,60.206795,-44.16966,270.0,bottom
U4,68.044295,-47.31966,270.0,bottom
U5,70.494295,-59.71466,90.0,bottom
USB1,58.500064,-35.441897,180.0,bottom
